Researcher,Year,Bird/Insect,order,genus,species,id,N,"mass 
(mg)","body length 
(mm)","body attitude 
(deg)","mass wing
(mg)","wing length 
(mm)","chord length
(mm)","wing area
(mm^2)","freq 
(Hz)","amp 
(deg)","AR
(-)","U tip
(m/s)","CL
(-)","Re
(-)","red. freq.
(-)",density (kg/m^3)
Weis-Fogh,1973,hummingbird hawk moth,lepidoptera,Macroglossum,stellatarum,524428,1,285.42,,,,21.00,10.00,210.00,73.0,119.7,2.10E+00,6.40794,0.530146343,4360.959167,0.3578939,1.225
Weis-Fogh,1973,bicolored swallow,lepidoptera,Amathes,bicolorago,689303,1,91.74,,,,16.00,11.00,176.00,50.0,119.7,1.45E+00,3.344,0.746605545,2503.355556,0.516709318,1.225
Weis-Fogh,1973,european hornet,hymenoptera,Vespa,crabro,7445,1,611.62,,,,24.30,9.20,223.56,104.0,119.7,2.64E+00,10.563696,0.392662355,6614.04744,0.284547743,1.225
Weis-Fogh,1973,common wasp,hymenoptera,Vespa,vulgaris,7454,1,91.74,,,,13.20,4.80,63.36,143.0,119.7,2.75E+00,7.890168,0.372519273,2577.45488,0.273300796,1.225
Weis-Fogh,1973,bumblebee (buff-tailed),hymenoptera,Bombus,terrestris,30195,1,897.04,,,,17.30,7.30,126.29,156.0,149.0,2.37E+00,14.03376,0.577643014,6972.049933,0.254931374,1.225
Weis-Fogh,1973,bumblebee (red-tailed),hymenoptera,Bombus,lapidarius,30192,1,489.30,,,,16.60,7.00,116.20,143.0,149.0,2.37E+00,12.34376,0.442623103,5880.430111,0.254763074,1.225
Weis-Fogh,1973,western honey bee,hymenoptera,Apis,mellifera,7460,1,101.94,,,,10.00,4.30,43.00,240.0,119.7,2.33E+00,10.032,0.377268378,2935.753333,0.323178192,1.225
Weis-Fogh,1973,chalcid wasp,hymenoptera,Encarsia,formosa,32400,1,0.03,,,,0.70,0.33,0.23,370.0,119.7,2.12E+00,1.08262,1.507543471,24.31384083,0.354314961,1.225
Weis-Fogh,1973,chalcid wasp,hymenoptera,Encarsia,formosa,32400,1,0.03,,,,0.62,0.23,0.14,400.0,135.2,2.70E+00,1.17056,2.088945123,18.32251556,0.246913037,1.225
Weis-Fogh,1973,crane fly,diptera,Tipula,sp,2908801,1,28.54,,,,17.30,4.60,79.58,53.0,119.7,3.76E+00,3.832642,0.391067292,1199.829871,0.199841334,1.225
Weis-Fogh,1973,mosquito,diptera,Theobaldia,annulata,332058,1,10.09,,,,6.30,1.60,10.08,262.0,119.7,3.94E+00,6.899508,0.336815821,751.27976,0.190876747,1.225
Weis-Fogh,1973,mosquito (yellow fever),diptera,Aedes,aegypti,7159,1,1.02,,,,2.50,0.70,1.75,600.0,104.9,3.57E+00,5.49,0.309536002,261.5375,0.240340422,1.225
Weis-Fogh,1973,drone fly,diptera,Eristalis,tenax,198635,1,152.91,,,,12.70,4.80,60.96,182.0,119.7,2.65E+00,9.661652,0.430365477,3156.139653,0.28406067,1.225
Weis-Fogh,1973,blow fly,diptera,Calliphora,erythrocephala,7373,1,57.08,,,,9.70,3.70,35.89,159.0,119.7,2.62E+00,6.446814,0.612940326,1623.343581,0.286684083,1.225
Weis-Fogh,1973,fruit fly,diptera,Drosophila,virilis,7244,1,2.04,,,,3.00,1.50,4.50,240.0,150.1,2.00E+00,3.7728,0.509781208,385.14,0.299770291,1.225
